,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Sayyan,YE,15.1718,44.3244,73.18,29,93,5.23,overcast clouds
287,Borgarnes,IS,64.5383,-21.9206,55.18,69,83,7.34,broken clouds
288,Cayenne,GF,4.9333,-52.3333,87.1,73,90,1.01,overcast clouds
289,Kangaatsiaq,GL,68.3065,-53.4641,36.82,62,88,20.83,overcast clouds
290,Samana,DO,19.2056,-69.3369,78.76,94,20,0.0,few clouds
291,Kasongo-Lunda,CD,-6.4667,16.8167,101.88,24,9,1.9,clear sky
292,Navsari,IN,20.9524,72.9324,84.09,89,100,16.58,overcast clouds
293,Srivardhan,IN,18.0333,73.0167,80.55,87,76,15.9,broken clouds
294,Biltine,TD,14.5333,20.9167,95.05,32,100,1.99,overcast clouds
295,Mazara Del Vallo,IT,37.6641,12.588,85.95,71,82,16.28,broken clouds
296,Berlevag,NO,70.8578,29.0864,42.75,87,75,17.27,broken clouds
297,Angola,AO,-12.5,18.5,96.96,12,5,5.12,clear sky
298,Nieuw Nickerie,SR,5.95,-56.9833,80.56,83,91,10.58,overcast clouds
299,Altamira,BR,-3.2033,-52.2064,82.49,83,75,10.36,broken clouds
300,Terrasini,IT,38.146,13.0844,85.48,49,0,17.27,clear sky
301,Cordoba,AR,-31.4135,-64.1811,50.85,66,0,4.61,clear sky
302,Praia Da Vitoria,PT,38.7333,-27.0667,79.05,89,20,5.57,few clouds
303,Shar,KZ,49.5886,81.0453,60.91,30,5,8.68,clear sky
304,Aksu,CN,41.1231,80.2644,89.69,13,1,7.09,clear sky
305,Ternovskaya,RU,45.8542,40.4086,75.13,32,0,15.08,clear sky
306,Jacqueville,CI,5.2052,-4.4146,82.31,83,91,9.91,overcast clouds
307,Dzemul,MX,21.2,-89.3,78.06,98,48,3.44,scattered clouds
308,Margate,GB,51.3813,1.3862,74.7,82,63,12.46,broken clouds
309,Koungheul,SN,13.9833,-14.8,89.83,64,33,8.43,scattered clouds
310,Abonnema,NG,4.7084,6.7931,88.48,61,93,2.93,light rain
311,Pindiga,NG,9.9833,10.9333,86.72,54,95,4.74,overcast clouds
312,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,67.44,38,100,6.93,overcast clouds
313,Sinop,TR,41.7711,34.8709,68.43,56,0,8.66,clear sky
314,Vila Velha,BR,-20.3297,-40.2925,80.55,61,40,12.66,scattered clouds
315,Maku,IR,39.2911,44.4521,76.42,40,0,8.5,clear sky
316,Lima,PE,-12.0432,-77.0282,57.9,87,90,4.61,overcast clouds
317,Florida,US,28.7505,-82.5001,81.75,93,90,9.22,overcast clouds
318,La Motte-Servolex,FR,45.5942,5.8758,73.85,67,0,3.44,clear sky
319,Kuryk,KZ,43.2,51.65,67.87,33,88,6.29,overcast clouds
320,Jiwani,PK,25.05,61.7417,81.79,86,93,18.12,overcast clouds
