City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Livramento,BR,77.67,moderate rain,-3.0254,-60.1803,Refúgio Samauma
408,Harlingen,US,75.38,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
410,Monduli,TZ,77.79,broken clouds,-3.3,36.45,Monduli Lutheran Youth Hostel
411,Albemarle,US,74.68,overcast clouds,35.3501,-80.2001,"Holiday Inn Express & Suites Albemarle, an IHG Hotel"
413,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
415,Shubarkuduk,KZ,69.6,scattered clouds,49.1447,56.4872,Sirius
417,Padang,ID,80.65,light rain,-0.9492,100.3543,Mercure Padang
418,Bagnols-Sur-Ceze,FR,80.82,broken clouds,44.1599,4.6178,Hôtel Château du Val de Ceze
419,Abrau-Dyurso,RU,76.46,clear sky,44.69,37.59,Avgustin Inn
420,Jaciara,BR,82.31,light rain,-15.9653,-54.9683,Taba Hotel
421,Beira,MZ,80.69,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
422,Mangan,IN,77.05,overcast clouds,27.5167,88.5333,Hotel Mout View
424,Ishimbay,RU,62.89,light rain,53.4545,56.0415,Bashneft
425,Santa Helena De Goias,BR,88.23,broken clouds,-17.8136,-50.5969,Hotel Pacheco
426,San Ramon,US,69.6,clear sky,37.7799,-121.978,San Ramon Marriott
428,Pallasovka,RU,73.42,few clouds,50.05,46.8833,"Hotel ""Natalia"""
429,Lagunas,PE,74.64,broken clouds,-5.2269,-75.6753,Hospedaje Eco
430,Fredericton,CA,65.44,overcast clouds,45.9454,-66.6656,"Crowne Plaza Fredericton-Lord Beaverbrook, an IHG Hotel"
431,Valmiera,LV,68.41,broken clouds,57.5411,25.4275,Hotel Naktsmājas
432,Kanniyakumari,IN,83.37,broken clouds,8.0833,77.5667,Sparsa
433,San Matias,BO,73.2,few clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
434,Eyl,SO,89.74,scattered clouds,7.9803,49.8164,Amiin Hotel
437,Saint-Leu,RE,76.03,few clouds,-21.15,55.2833,La Caz Oceane
438,Tabou,CI,80.24,light rain,4.423,-7.3528,hotêl doufoulougou
439,Keskin,TR,77.29,clear sky,39.6731,33.6136,Keskin İlçe Müftülüğü İrşat Evi
440,Aguas Formosas,BR,80.51,scattered clouds,-17.0822,-40.9358,HAVAY PALACE HOTEL
441,Parrsboro,CA,67.05,broken clouds,45.4001,-64.332,Gillespie House Inn
442,Luena,AO,89.78,scattered clouds,-11.7833,19.9167,Hotel Kandamba
443,Olesnica,PL,78.64,clear sky,51.2134,17.3899,Perła
444,La Baule-Escoublac,FR,72.72,broken clouds,47.2922,-2.364,Hôtel Barrière Le Royal La Baule
445,Chitral,PK,84.74,clear sky,35.8462,71.7858,PTDC Motel Chitral
447,Uthal,PK,87.87,overcast clouds,25.8072,66.6219,Al-Mustafa Hotel
448,Puri,IN,84.72,light rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
451,Manturovo,RU,61.3,scattered clouds,58.3353,44.7619,ProstoХостел
452,Kakonko,TZ,83.7,broken clouds,-3.2828,30.9642,Edward Memorial Guest House
454,Palma,ES,88.56,few clouds,39.5694,2.6502,Hotel Saratoga
455,Mao,ES,84.76,scattered clouds,39.8885,4.2658,ARTIEM Capri
456,Kumba,CM,85.77,moderate rain,4.6363,9.4469,El Bethel Hotel
460,Bilecik,TR,83.05,few clouds,40.0,30.1667,Namlı Osmanlı Konagi
461,Kochubey,RU,68.43,overcast clouds,44.3861,46.5825,Europa
463,Dwarka,IN,81.93,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
464,Bonthe,SL,85.05,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
467,Imbituba,BR,69.69,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
469,Namanga,KE,80.02,broken clouds,-2.5433,36.7905,Visit Namanga
470,Olenino,RU,64.69,overcast clouds,56.2092,33.4889,Kolos
472,Balkanabat,TM,86.83,clear sky,39.5108,54.3671,Nebitchi Hotel
473,Mabaruma,GY,73.8,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
475,Damietta,EG,84.43,clear sky,31.4165,31.8133,SULIMAN INN
479,Maxixe,MZ,80.42,scattered clouds,-23.8597,35.3472,Oceano
480,Namibe,AO,74.46,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
481,Llangefni,GB,69.58,broken clouds,53.2556,-4.3106,Bull Hotel
483,Makokou,GA,89.94,broken clouds,0.5738,12.8642,Motel des voyageurs
484,Ballitoville,ZA,73.54,few clouds,-29.539,31.2144,Hampshire Hotel-Ballito
485,Villamontes,BO,62.04,overcast clouds,-21.25,-63.5,Hotel Raldes
486,Asilah,MA,84.06,few clouds,35.465,-6.0348,Hotel Zelis
