City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,Saint George,37.1041,-113.5841,81.95,16,1,1.01,US,2021-09-08 08:15:20
124,Nikolsk,53.7189,46.0712,51.48,78,100,13.4,RU,2021-09-08 08:16:58
125,Laguna,38.421,-121.4238,83.77,53,1,5.75,US,2021-09-08 08:16:59
126,Belmonte,-15.8631,-38.8828,70.3,94,23,5.77,BR,2021-09-08 08:16:59
127,Laje,-10.1833,-40.9667,64.71,92,54,8.77,BR,2021-09-08 08:16:59
128,Georgetown,5.4112,100.3354,77.9,91,40,4.61,MY,2021-09-08 08:13:45
129,Los Llanos De Aridane,28.6585,-17.9182,71.35,73,20,11.5,ES,2021-09-08 08:17:00
130,Salinopolis,-0.6136,-47.3561,78.35,83,24,9.8,BR,2021-09-08 08:17:00
131,Caucasia,7.9865,-75.1935,72.86,97,99,2.35,CO,2021-09-08 08:17:01
132,Hambantota,6.1241,81.1185,87.89,62,9,24.25,LK,2021-09-08 08:17:01
133,Bonavista,48.6499,-53.1147,61.12,88,48,18.07,CA,2021-09-08 08:15:58
134,Coihaique,-45.5752,-72.0662,44.55,70,0,2.3,CL,2021-09-08 08:17:02
135,Bubaque,11.2833,-15.8333,79.74,85,100,9.37,GW,2021-09-08 08:17:02
136,Oranjemund,-28.55,16.4333,69.39,26,0,10.69,NA,2021-09-08 08:17:02
137,Malakal,9.5334,31.6605,78.46,85,100,5.46,SS,2021-09-08 08:17:03
138,Pisco,-13.7,-76.2167,60.03,88,18,2.3,PE,2021-09-08 08:17:03
139,Acari,-15.4311,-74.6158,60.78,89,76,5.68,PE,2021-09-08 08:17:04
140,Bassar,9.25,0.7833,75.43,87,100,2.04,TG,2021-09-08 08:17:04
141,Soyo,-6.1349,12.3689,76.51,81,100,3.58,AO,2021-09-08 08:17:05
142,Blagoyevo,63.3667,47.9167,49.28,65,73,7.92,RU,2021-09-08 08:17:05
143,Valdivia,-39.8142,-73.2459,39.29,98,25,1.83,CL,2021-09-08 08:17:05
144,Elat,29.5581,34.9482,87.64,42,0,10.36,IL,2021-09-08 08:14:57
145,Chopda,21.25,75.3,86.58,74,100,7.7,IN,2021-09-08 08:17:06
146,Saint-Pierre,-21.3393,55.4781,76.68,58,0,17.27,RE,2021-09-08 08:17:06
147,Kavaratti,10.5669,72.642,81.95,79,99,17.18,IN,2021-09-08 08:17:07
148,Necochea,-38.5473,-58.7368,50.2,95,100,21.5,AR,2021-09-08 08:13:02
149,Niksar,40.5917,36.9517,66.42,41,0,4.59,TR,2021-09-08 08:17:07
150,Hwange,-18.3693,26.5019,82.92,23,0,9.86,ZW,2021-09-08 08:17:08
151,Saldanha,-33.0117,17.9442,58.66,73,29,14.2,ZA,2021-09-08 08:14:17
152,Iaciara,-14.0958,-46.6317,74.14,36,9,3.83,BR,2021-09-08 08:17:08
153,Aksu,41.1231,80.2644,91.81,14,0,7.07,CN,2021-09-08 08:17:08
154,Monte Patria,-30.6919,-70.9467,47.01,55,0,1.88,CL,2021-09-08 08:17:09
155,Killin,33.6123,-91.7412,64.35,94,1,0.0,US,2021-09-08 08:17:09
156,Ovre Ardal,61.3167,7.8,58.08,99,100,4.83,NO,2021-09-08 08:17:09
157,Sirumugai,11.3333,77.0167,87.37,52,100,6.35,IN,2021-09-08 08:17:10
158,Tobermory,45.2501,-81.6665,54.3,77,0,13.96,CA,2021-09-08 08:17:10
159,Kamenka,51.3223,42.7678,60.26,40,99,12.64,RU,2021-09-08 08:17:11
160,Ostersund,63.1792,14.6357,57.65,77,75,16.11,SE,2021-09-08 08:17:11
161,Carutapera,-1.195,-46.02,77.58,83,30,7.67,BR,2021-09-08 08:17:11
162,Viedma,-40.8135,-62.9967,47.95,94,100,8.23,AR,2021-09-08 08:17:12
163,Serenje,-13.2325,30.2352,78.24,29,0,11.97,ZM,2021-09-08 08:17:12
164,Salalah,17.0151,54.0924,84.29,84,75,11.5,OM,2021-09-08 08:17:12
165,Lere,10.387,8.5726,72.63,78,53,4.14,NG,2021-09-08 08:17:13
166,Olafsvik,64.8945,-23.7142,49.93,76,100,13.71,IS,2021-09-08 08:17:13
167,Ponta Do Sol,32.6667,-17.1,74.12,77,25,0.96,PT,2021-09-08 08:17:13
168,Nouakchott,18.0858,-15.9785,80.53,80,47,5.75,MR,2021-09-08 08:17:14
169,Boden,65.8252,21.6886,55.4,59,99,13.06,SE,2021-09-08 08:17:14
170,Abu Samrah,35.3029,37.1841,83.17,36,0,9.4,SY,2021-09-08 08:17:15
171,Chambas,22.1928,-78.9136,73.24,93,1,3.69,CU,2021-09-08 08:17:15
172,Harper,4.375,-7.7169,78.13,83,79,3.31,LR,2021-09-08 08:17:15
173,Koroni,36.8,21.95,71.08,66,97,6.02,GR,2021-09-08 08:17:16
174,Bangassou,4.7413,22.8184,79.99,61,99,0.87,CF,2021-09-08 08:17:16
175,Pangnirtung,66.1451,-65.7125,37.31,58,35,2.98,CA,2021-09-08 08:17:17
176,Zyryanovsk,49.7386,84.2719,91.17,17,0,6.06,KZ,2021-09-08 08:17:17
